"No.","Time","Source","Destination","Protocol","Length","Info"
"52","32.223396","84.196.158.177","192.168.0.2","TELNET","69","Telnet Data ..."
"53","32.255163","192.168.0.2","84.196.158.177","TCP","66","23  >  39556 [ACK] Seq=151 Ack=66 Win=28960 Len=0 TSval=31822 TSecr=9205946"
"54","32.379245","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"55","32.379663","192.168.0.2","84.196.158.177","TCP","66","23  >  39556 [ACK] Seq=151 Ack=68 Win=28960 Len=0 TSval=31834 TSecr=9205984"
"56","32.381170","192.168.0.2","84.196.158.177","TELNET","68","Telnet Data ..."
"57","32.524516","84.196.158.177","192.168.0.2","TCP","66","39556  >  23 [ACK] Seq=68 Ack=153 Win=5840 Len=0 TSval=9206023 TSecr=31834"
"58","34.950478","37.115.148.29","192.168.0.2","TCP","54","14110  >  23 [SYN] Seq=0 Win=18272 Len=0"
"59","34.951197","192.168.0.2","37.115.148.29","TCP","58","23  >  14110 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"60","35.077996","37.115.148.29","192.168.0.2","TCP","54","14110  >  23 [RST] Seq=1 Win=0 Len=0"
"61","35.126572","37.115.148.29","192.168.0.2","TCP","74","45019  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=29179112 TSecr=0 WS=2"
"62","35.127107","192.168.0.2","37.115.148.29","TCP","74","23  >  45019 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=32109 TSecr=29179112 WS=16"
"63","35.252270","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=29179143 TSecr=32109"
"64","35.255031","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"65","35.380230","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=1 Ack=13 Win=5840 Len=0 TSval=29179175 TSecr=32122"
"66","35.380381","37.115.148.29","192.168.0.2","TELNET","69","Telnet Data ..."
"67","35.380714","192.168.0.2","37.115.148.29","TELNET","84","Telnet Data ..."
"68","35.381021","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=31 Ack=4 Win=28960 Len=0 TSval=32134 TSecr=29179175"
"69","35.385505","192.168.0.2","84.196.158.177","TELNET","83","Telnet Data ..."
"70","35.387485","192.168.0.2","84.196.158.177","TCP","66","23  >  39556 [FIN, ACK] Seq=170 Ack=68 Win=28960 Len=0 TSval=32135 TSecr=9206023"
"71","35.491366","84.196.158.177","192.168.0.2","TCP","66","39556  >  23 [ACK] Seq=68 Ack=170 Win=5840 Len=0 TSval=9206764 TSecr=32135"
"72","35.506161","37.115.148.29","192.168.0.2","TELNET","89","Telnet Data ..."
"73","35.506765","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=31 Ack=27 Win=28960 Len=0 TSval=32147 TSecr=29179207"
"74","35.508050","192.168.0.2","37.115.148.29","TELNET","71","Telnet Data ..."
"75","35.631891","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
